timID,treatment,site,phenotype,length.28mar,sex,adult.28mar,feed.shmp.28mar,feed.shmp.31mar,t1drop?.1apr,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,notes.1apr,drop.2apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr,notes.2apr,feed.shmp.9apr,feed.shmp.13apr,feed.shmp.15apr,t1beh.16apr,t2beh.16apr,t3beh.16apr,t4beh.16apr,t5beh.16apr,t1beh.17apr,t2beh.17apr,t3beh.17apr,t4beh.17apr,t5beh.17apr,length.18apr,notes.18apr,smp.24apr,latency.24apr
M5,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M7,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1
M9,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M11,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M13,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M15,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M17,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M19,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M21,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M23,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M25,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M27,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M29,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M31,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M33,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M35,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M37,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M39,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,5
M41,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M43,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M45,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M47,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M49,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M51,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5
M53,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M55,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M57,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M59,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M61,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M63,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M65,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M67,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M69,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M71,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead,0
